Feature,MeanDiff,SD,MAD,Norm_SD,Norm_MAD,Norm_MeanDiff,CombinedScore
LL,0.0896551724137931,0.22240817956027403,0.17103448275862065,0.0,0.0,0.02691037318008759,0.02691037318008759
MCL,0.2841379310344828,1.6524704958321406,0.4537931034482759,0.29228726256850684,0.08178735264593727,0.13081467960061122,0.5048892948150554
ML,0.31551724137931036,1.6472936764885868,0.4403448275862067,0.29122918395366465,0.07789746636155725,0.14757938152307157,0.5167060318382934
MT_calA,0.039285714285714084,3.432202467149949,1.9178571428571434,0.6560427297835745,0.5052648812719963,0.0,1.161307611055571
cal_PA,-0.733103448275862,2.7372010665922275,1.6213793103448275,0.5139929361914495,0.419509274669283,0.37067887633735186,1.3041810871980843
MA,0.24448275862068972,3.2163843334926905,2.4286206896551716,0.6119321404885748,0.6530021924060377,0.109628517830469,1.3745628507250816
TCA,-0.11000000000000042,4.001167932939857,2.6941379310344824,0.772332318425621,0.729802511354052,0.03777979530563905,1.5399146250853122
5MTCA,-0.2127586206896553,4.930026156852848,3.245862068965518,0.9621795890603366,0.8893875896875885,0.09267958841435525,1.9442467671622803
1MTA,-0.678862068965517,4.501095619299647,3.6156206896551724,0.8745114285704485,0.996339514373245,0.34169989158567027,2.2125508345293636
TUA,-1.911034482758621,5.115068573934501,3.6282758620689655,0.9999999979561222,0.9999999971075205,0.9999999946574027,2.9999999897210454
