Feature,MeanDiff,SD,MAD,Norm_SD,Norm_MAD,Norm_MeanDiff,CombinedScore
LL,-0.027931034482758615,0.24108060335232892,0.1789655172413793,0.0,0.0,0.0,0.0
ML,-0.27827586206896554,1.6395269901670804,0.4513793103448275,0.02994901404374792,0.013773696417279581,0.01800251438782591,0.06172522484885341
MCL,-0.31793103448275856,1.6505534689504757,0.40344827586206894,0.03018515621626922,0.011350223250188621,0.020854152341820368,0.062389531808278206
MT_calA,-0.3771428571428572,1.9406954886307732,1.4778571428571428,0.03639881410406187,0.0656741302500216,0.025112126032132608,0.12718507038621607
cal_PA,0.8217241379310347,2.6427572708944798,1.7486206896551726,0.05143411211393811,0.07936438745754011,0.057082352783437,0.1878808523549152
MA,0.1235714285714286,3.8024702631369536,2.5685714285714285,0.07627043120264956,0.12082246645674782,0.006877583959851243,0.20397048161924863
TCA,0.17344827586206912,5.677813005302894,3.814137931034482,0.11643261879276164,0.1838003894062802,0.010464271448570997,0.31069727964761285
5MTCA,-2.3810344827586207,4.280142879364713,2.918965517241379,0.0865002290887905,0.13853897687557415,0.16921371650485403,0.3942529224692187
TUA,2.9548275862068967,7.104717529724178,5.394137931034481,0.14699108999616387,0.26368782862650175,0.2104756778565652,0.6211545964792308
1MTA,13.934034482758621,46.93531849954769,19.956793103448277,0.9999999997858408,0.9999999994943832,0.9999999992808912,2.9999999985611154
