Feature,MeanDiff,SD,MAD,Norm_SD,Norm_MAD,Norm_MeanDiff,CombinedScore
LL,0.023448275862068966,0.0570707885946957,0.038620689655172395,0.0,0.0,0.0,0.0
ML,0.04655172413793102,0.10661810230165729,0.06724137931034482,0.014836563896673757,0.011487889227245847,0.011735855606876887,0.03806030873079649
MCL,0.05758620689655173,0.2744732280445555,0.09206896551724138,0.06509949668043045,0.02145328711112176,0.017341040374340484,0.10389382416589268
cal_PA,-0.13758620689655174,0.8596537200701454,0.620344827586207,0.24032731654515882,0.23349480875137035,0.05797862993845153,0.5318007552349807
MT_calA,-0.5072413793103441,1.147750112631829,0.9410344827586214,0.32659557645370885,0.3622145314181011,0.24575231964848143,0.9345624275202914
MA,-0.3651724137931035,2.328244300325381,1.9513793103448278,0.6800855264629768,0.7677508619702734,0.1735855657673881,1.6214219542006383
TCA,-0.4541379310344828,2.475590514355743,2.040344827586207,0.7242072225921308,0.8034602043874953,0.21877736795506328,1.7464447949346893
TUA,0.6662068965517242,2.6631021757666615,2.1613793103448278,0.780356154547319,0.8520415190713905,0.32650201270475415,1.9588996863234636
1MTA,-1.012758620689655,3.3966117971232324,2.5300000000000002,0.9999999970055765,0.9999999959861592,0.5025398468079075,2.5025398397996432
5MTCA,-1.9920689655172414,2.7070220045605082,2.3368965517241382,0.7935076111547299,0.9224913457782354,0.9999999949203013,2.7159989518532663
